"Time","Bare Soil","Cardboard Mulch"
2023-07-06 05:04:33,20.3 %,16 %
2023-07-06 05:19:34,20.4 %,16 %
2023-07-06 05:34:39,20.3 %,16 %
2023-07-06 05:49:45,20.3 %,16 %
2023-07-06 06:04:45,20.5 %,16 %
2023-07-06 06:19:57,20.4 %,16 %
2023-07-06 06:35:07,20.5 %,16 %
2023-07-06 06:50:19,20.4 %,16.2 %
2023-07-06 07:05:19,20.3 %,16.1 %
2023-07-06 07:20:30,20.4 %,16.1 %
2023-07-06 07:35:41,20.4 %,16.1 %
2023-07-06 07:50:45,20.2 %,15.9 %
2023-07-06 08:05:51,20.3 %,16 %
2023-07-06 08:20:59,20.3 %,15.9 %
2023-07-06 08:36:05,20.3 %,16 %
2023-07-06 08:51:15,20.1 %,16 %
2023-07-06 09:06:22,20.1 %,15.9 %
2023-07-06 09:21:29,20.1 %,16 %
2023-07-06 09:36:34,20 %,15.9 %
2023-07-06 09:51:41,19.9 %,16 %
2023-07-06 10:06:50,19.9 %,15.9 %
2023-07-06 10:21:50,19.7 %,15.9 %
2023-07-06 11:44:47,19.2 %,15.7 %
2023-07-06 11:45:22,19.3 %,15.7 %
2023-07-06 12:00:28,19.3 %,15.6 %
2023-07-06 12:15:35,19.2 %,15.6 %
2023-07-06 12:30:42,19.1 %,15.6 %
